Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
55,1.0,3.0,0.0,48.0,0.0
69,0.0,0.0,0.0,55.0,0.0
370,7.0,3.0,0.0,272.0,14.0
19,1.0,0.0,0.0,7.0,0.0
1655,48.0,53.0,0.0,1214.0,30.0
40,1.0,1.0,0.0,29.0,0.0
225,8.0,2.0,0.0,177.0,3.0
8,0.0,0.0,0.0,5.0,0.0
7,0.0,0.0,0.0,7.0,0.0
324,26.0,2.0,0.0,153.0,17.0
617,3.0,6.0,0.0,434.0,11.0
53,1.0,4.0,0.0,43.0,0.0
801,6.0,3.0,0.0,779.0,6.0
13,0.0,0.0,0.0,10.0,0.0
237,3.0,13.0,0.0,185.0,2.0
30,0.0,2.0,0.0,28.0,0.0
2880,113.0,23.0,0.0,1800.0,100.0
79,-1.0,1.0,0.0,59.0,1.0
6,0.0,0.0,0.0,3.0,1.0
479,4.0,3.0,0.0,309.0,12.0
59974,0.0,1463.0,0.0,309.0,12.0
55,0.0,1463.0,0.0,309.0,12.0
11,0.0,1463.0,0.0,309.0,12.0
1676,65.0,91.0,0.0,309.0,12.0
3,0.0,91.0,0.0,309.0,12.0
2,0.0,91.0,0.0,309.0,12.0
1,0.0,1.0,0.0,309.0,12.0
4,0.0,1.0,0.0,309.0,12.0
37135,2143.0,694.0,4.0,309.0,12.0
28,0.0,694.0,4.0,309.0,12.0
3311,63.0,115.0,1.0,309.0,12.0
6546,228.0,272.0,17.0,309.0,12.0
2912,134.0,58.0,3.0,309.0,12.0
7,0.0,58.0,3.0,309.0,12.0
62,0.0,7.0,0.0,309.0,12.0
16,0.0,7.0,0.0,309.0,12.0
195571,0.0,5733.0,0.0,309.0,12.0
5242,83.0,122.0,1.0,309.0,12.0
1,0.0,0.0,0.0,309.0,12.0
16,3.0,0.0,0.0,309.0,12.0
119,8.0,1.0,0.0,309.0,12.0
26,0.0,0.0,0.0,309.0,12.0
11,4.0,0.0,0.0,309.0,12.0
2520,67.0,67.0,5.0,309.0,12.0
47,1.0,0.0,0.0,309.0,12.0
149,7.0,0.0,0.0,309.0,12.0
3765,196.0,71.0,1.0,309.0,12.0
54,7.0,0.0,0.0,309.0,12.0
117,1.0,4.0,0.0,309.0,12.0
33,0.0,0.0,0.0,309.0,12.0
28,2.0,1.0,0.0,309.0,12.0
4155,68.0,70.0,4.0,309.0,12.0
2063,336.0,20.0,2.0,309.0,12.0
40,0.0,0.0,0.0,309.0,12.0
9,0.0,0.0,0.0,309.0,12.0
89566,1133.0,3205.0,34.0,309.0,12.0
373,4.0,5.0,0.0,309.0,12.0
1261,122.0,18.0,0.0,309.0,12.0
19,1.0,1.0,0.0,309.0,12.0
60,-1.0,0.0,0.0,309.0,12.0
696,40.0,10.0,1.0,309.0,12.0
35,0.0,1.0,0.0,309.0,12.0
1407,61.0,12.0,0.0,309.0,12.0
14,0.0,0.0,0.0,309.0,12.0
92,11.0,1.0,0.0,309.0,12.0
11804,733.0,299.0,24.0,309.0,12.0
548,23.0,10.0,0.0,309.0,12.0
6,0.0,0.0,0.0,309.0,12.0
14946,477.0,432.0,1.0,309.0,12.0
2446,72.0,66.0,0.0,309.0,12.0
171,4.0,2.0,0.0,309.0,12.0
10211,440.0,245.0,11.0,309.0,12.0
11628,332.0,347.0,9.0,309.0,12.0
3216,39.0,48.0,0.0,309.0,12.0
2680,178.0,49.0,1.0,309.0,12.0
461,16.0,1.0,0.0,309.0,12.0
2964,57.0,104.0,1.0,309.0,12.0
2569,71.0,27.0,0.0,309.0,12.0
3812,112.0,155.0,0.0,309.0,12.0
329,16.0,3.0,0.0,309.0,12.0
83,2.0,5.0,0.0,309.0,12.0
1,0.0,0.0,0.0,309.0,12.0
24,0.0,0.0,0.0,309.0,12.0
979,38.0,23.0,0.0,309.0,12.0
66,0.0,1.0,0.0,309.0,12.0
2039,189.0,38.0,1.0,309.0,12.0
118,6.0,3.0,0.0,309.0,12.0
55,5.0,1.0,0.0,309.0,12.0
2,0.0,0.0,0.0,309.0,12.0
3541,85.0,118.0,2.0,309.0,12.0
9,0.0,0.0,0.0,309.0,12.0
2314,105.0,44.0,1.0,309.0,12.0
376,26.0,24.0,0.0,309.0,12.0
4,0.0,0.0,0.0,309.0,12.0
37,2.0,1.0,0.0,309.0,12.0
30705,0.0,1651.0,0.0,309.0,12.0
4013,42.0,154.0,0.0,309.0,12.0
178,1.0,3.0,0.0,309.0,12.0
5066,44.0,342.0,0.0,309.0,12.0
6,0.0,0.0,0.0,309.0,12.0
9,0.0,0.0,0.0,309.0,12.0
4,0.0,0.0,0.0,309.0,12.0
1321,16.0,71.0,0.0,309.0,12.0
50,0.0,2.0,0.0,309.0,12.0
22,0.0,2.0,0.0,309.0,12.0
5,0.0,0.0,0.0,309.0,12.0
18,0.0,1.0,0.0,309.0,12.0
12,0.0,0.0,0.0,309.0,12.0
3,0.0,0.0,0.0,309.0,12.0
69,0.0,1.0,0.0,309.0,12.0
2,0.0,0.0,0.0,309.0,12.0
81,0.0,1.0,0.0,309.0,12.0
6835,60.0,369.0,0.0,309.0,12.0
232,0.0,8.0,0.0,309.0,12.0
372,0.0,5.0,0.0,309.0,12.0
2220,47.0,121.0,1.0,309.0,12.0
9,0.0,1.0,0.0,309.0,12.0
4,0.0,0.0,0.0,309.0,12.0
48,0.0,1.0,0.0,309.0,12.0
7,1.0,0.0,0.0,309.0,12.0
4,0.0,0.0,0.0,309.0,12.0
95,0.0,1.0,0.0,309.0,12.0
1,0.0,0.0,0.0,309.0,12.0
4,0.0,0.0,0.0,309.0,12.0
1,1.0,0.0,0.0,309.0,12.0
2594,25.0,207.0,0.0,309.0,12.0
5,0.0,3.0,0.0,309.0,12.0
34,0.0,1.0,0.0,309.0,12.0
3,0.0,0.0,0.0,309.0,12.0
161,0.0,8.0,0.0,309.0,12.0
1,0.0,0.0,0.0,309.0,12.0
1,0.0,0.0,0.0,309.0,12.0
635,0.0,5.0,0.0,309.0,12.0
27,0.0,0.0,0.0,309.0,12.0
2,0.0,0.0,0.0,309.0,12.0
3,0.0,0.0,0.0,309.0,12.0
8,0.0,1.0,0.0,309.0,12.0
35,0.0,12.0,0.0,309.0,12.0
649,0.0,46.0,0.0,309.0,12.0
4,0.0,1.0,0.0,309.0,12.0
3,0.0,1.0,0.0,309.0,12.0
5,0.0,0.0,0.0,309.0,12.0
3,0.0,0.0,0.0,309.0,12.0
39,0.0,2.0,0.0,309.0,12.0
17,1.0,0.0,0.0,309.0,12.0
44,0.0,2.0,0.0,309.0,12.0
1,0.0,0.0,0.0,309.0,12.0
70,3.0,2.0,1.0,309.0,12.0
32,0.0,6.0,0.0,309.0,12.0
100,1.0,2.0,0.0,309.0,12.0
1,0.0,0.0,0.0,309.0,12.0
10,0.0,0.0,0.0,309.0,12.0
53,0.0,3.0,0.0,309.0,12.0
12,0.0,1.0,0.0,309.0,12.0
1,0.0,0.0,0.0,309.0,12.0
2757,11.0,136.0,0.0,309.0,12.0
2,0.0,0.0,0.0,309.0,12.0
45782,0.0,4263.0,0.0,309.0,12.0
16547,20.0,1373.0,3.0,309.0,12.0
11483,33.0,1362.0,6.0,309.0,12.0
1469,0.0,136.0,0.0,309.0,12.0
1277,4.0,179.0,0.0,309.0,12.0
12245,18.0,1068.0,2.0,309.0,12.0
1219,-2.0,102.0,0.0,309.0,12.0
152,0.0,14.0,0.0,309.0,12.0
59,0.0,1.0,0.0,309.0,12.0
10159,31.0,543.0,2.0,1182.0,0.0
10820,0.0,435.0,0.0,6646.0,48.0
147,0.0,435.0,0.0,6646.0,48.0
4791,71.0,242.0,2.0,2805.0,34.0
210,0.0,242.0,2.0,2805.0,34.0
114018,5004.0,3327.0,46.0,2805.0,34.0
863,56.0,11.0,0.0,2805.0,34.0
44,2.0,4.0,0.0,2805.0,34.0
248,8.0,4.0,0.0,2805.0,34.0
73,4.0,2.0,0.0,2805.0,34.0
1149,127.0,17.0,0.0,2805.0,34.0
12584,367.0,379.0,1.0,2805.0,34.0
70,0.0,6.0,0.0,2805.0,34.0
626,9.0,76.0,0.0,2805.0,34.0
226,7.0,12.0,0.0,2805.0,34.0
542,19.0,33.0,0.0,2805.0,34.0
3521,65.0,70.0,3.0,2805.0,34.0
246,3.0,3.0,0.0,2805.0,34.0
521,8.0,10.0,0.0,2805.0,34.0
63,1.0,4.0,1.0,2805.0,34.0
3724,305.0,64.0,2.0,2805.0,34.0
1404,92.0,43.0,0.0,2805.0,34.0
261,11.0,5.0,0.0,2805.0,34.0
4,0.0,0.0,0.0,2805.0,34.0
337,5.0,6.0,0.0,2805.0,34.0
88,0.0,0.0,0.0,2805.0,34.0
151,8.0,1.0,0.0,2805.0,34.0
16,2.0,0.0,0.0,2805.0,34.0
317,2.0,2.0,0.0,2805.0,34.0
340,6.0,2.0,0.0,2805.0,34.0
810,14.0,24.0,0.0,2805.0,34.0
227,9.0,5.0,0.0,2805.0,34.0
279,9.0,11.0,1.0,2805.0,34.0
7329,437.0,127.0,6.0,2805.0,34.0
147,10.0,0.0,0.0,2805.0,34.0
479,22.0,16.0,1.0,2805.0,34.0
347,5.0,2.0,0.0,2805.0,34.0
41,3.0,4.0,0.0,2805.0,34.0
22,2.0,0.0,0.0,2805.0,34.0
881,43.0,21.0,0.0,2805.0,34.0
4062,118.0,149.0,0.0,2805.0,34.0
642,28.0,8.0,0.0,2805.0,34.0
157,3.0,1.0,0.0,2805.0,34.0
220,0.0,1.0,0.0,2805.0,34.0
156,13.0,3.0,0.0,2805.0,34.0
2202,70.0,128.0,1.0,2805.0,34.0
493,26.0,10.0,0.0,2805.0,34.0
1673,34.0,23.0,1.0,2805.0,34.0
28664,885.0,935.0,9.0,2805.0,34.0
188,14.0,4.0,0.0,2805.0,34.0
136,8.0,1.0,0.0,2805.0,34.0
500,43.0,6.0,0.0,2805.0,34.0
289,13.0,0.0,0.0,2805.0,34.0
6786,730.0,55.0,2.0,2805.0,34.0
1321,99.0,24.0,0.0,2805.0,34.0
11840,304.0,486.0,4.0,2805.0,34.0
1170,86.0,17.0,0.0,2805.0,34.0
4669,282.0,137.0,5.0,2805.0,34.0
2571,117.0,84.0,4.0,2805.0,34.0
271,10.0,6.0,0.0,2805.0,34.0
411,40.0,9.0,0.0,2805.0,34.0
