Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
53156,822.0,4343.0,34.0,5350.0,230.0
1475,25.0,4343.0,34.0,5350.0,230.0
520,10.0,4343.0,34.0,5350.0,230.0
464,2.0,4343.0,34.0,5350.0,230.0
241,4.0,4343.0,34.0,5350.0,230.0
643,10.0,4343.0,34.0,5350.0,230.0
922,20.0,4343.0,34.0,5350.0,230.0
1817,31.0,4343.0,34.0,5350.0,230.0
1796,34.0,4343.0,34.0,5350.0,230.0
78,1.0,4343.0,34.0,5350.0,230.0
14836,23.0,4343.0,34.0,5350.0,230.0
504,15.0,4343.0,34.0,5350.0,230.0
708,13.0,4343.0,34.0,5350.0,230.0
2099,19.0,4343.0,34.0,5350.0,230.0
3869,58.0,4343.0,34.0,5350.0,230.0
541,22.0,4343.0,34.0,5350.0,230.0
526,13.0,4343.0,34.0,5350.0,230.0
548,13.0,4343.0,34.0,5350.0,230.0
553,15.0,4343.0,34.0,5350.0,230.0
6279,91.0,4343.0,34.0,5350.0,230.0
901,5.0,4343.0,34.0,5350.0,230.0
1733,32.0,4343.0,34.0,5350.0,230.0
343,11.0,4343.0,34.0,5350.0,230.0
863,15.0,4343.0,34.0,5350.0,230.0
428,10.0,4343.0,34.0,5350.0,230.0
