Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
8,1.0,1.0,4.0,Aceh
177,25.0,4.0,55.0,Bali
9,1.0,1.0,2.0,Bangka-Belitung
359,9.0,39.0,33.0,Banten
575,96.0,54.0,58.0,Central Java
94,12.0,4.0,9.0,Central Kalimantan
32,3.0,3.0,3.0,Central Sulawesi
690,52.0,67.0,128.0,East Java
85,16.0,1.0,11.0,East Kalimantan
12,5.0,1.0,0.0,Gorontalo
3599,216.0,326.0,327.0,Jakarta
18,5.0,0.0,1.0,Jambi
38,11.0,5.0,10.0,Lampung
17,0.0,0.0,10.0,Maluku
14,2.0,0.0,2.0,North Maluku
36,16.0,3.0,5.0,North Sulawesi
96,3.0,11.0,21.0,North Sumatra
136,13.0,6.0,32.0,Papua
36,1.0,4.0,12.0,Riau
83,1.0,8.0,9.0,Riau Islands
41,4.0,2.0,5.0,South East Sulawesi
132,25.0,6.0,10.0,South Kalimantan
420,33.0,35.0,81.0,South Sulawesi
106,6.0,3.0,5.0,South Sumatra
862,100.0,77.0,90.0,West Java
50,19.0,3.0,7.0,West Kalimantan
153,45.0,4.0,15.0,West Nusa Tenggara
15,7.0,1.0,0.0,West Papua
33,25.0,1.0,1.0,West Sulawesi
96,15.0,10.0,17.0,West Sumatra
77,2.0,7.0,36.0,Yogyakarta
