Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
1210,2,45,0,Aargau
25,0,0,0,Appenzell Inner-Rhoden
987,0,3,0,Appenzell Outer-Rhoden
836,0,32,0,Basel-Country
979,0,50,0,Basel-Town
1905,3,96,0,Berne
1163,1,84,0,Fribourg
5145,2,279,1,Geneva
127,0,12,1,Glarus
827,0,48,1,Graubünden
204,0,7,1,Jura
734,0,20,1,Lucerne
726,1,83,1,Neuchâtel
123,0,3,1,Nidwalden
82,3,0,1,Obwalden
79,0,6,1,Schaffhausen
307,0,23,1,Schwyz
441,1,17,1,Solothurn
808,0,37,1,St Gallen
382,1,18,1,Thurgau
3313,1,348,568,Ticino
92,0,7,568,Uri
1945,1,151,568,Valais
5447,2,406,1,Vaud
193,-9,8,1,Zug
3625,4,130,11,Zurich
