Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
355,2,9,29,Alaska
182,3,4,29,Alaska
1,0,0,29,Alaska
81,0,2,29,Alaska
24,0,0,29,Alaska
20,1,1,29,Alaska
16,0,0,29,Alaska
1,0,0,29,Alaska
22,1,1,29,Alaska
1,0,0,29,Alaska
4,0,1,29,Alaska
2,0,0,29,Alaska
1,0,0,29,Alaska
1,0,0,29,Alaska
7019,174,269,29,Alabama
48,4,4,29,Alabama
179,4,3,29,Alabama
40,2,0,29,Alabama
44,2,0,29,Alabama
38,1,1,29,Alabama
19,2,0,29,Alabama
58,7,1,29,Alabama
96,2,3,29,Alabama
299,4,19,29,Alabama
15,0,0,29,Alabama
56,2,1,29,Alabama
43,2,0,29,Alabama
34,3,1,29,Alabama
19,0,1,29,Alabama
12,0,1,29,Alabama
111,4,1,29,Alabama
33,3,2,29,Alabama
34,2,0,29,Alabama
31,0,1,29,Alabama
37,1,1,29,Alabama
20,2,0,29,Alabama
89,3,1,29,Alabama
28,2,0,29,Alabama
69,12,2,29,Alabama
14,0,0,29,Alabama
77,0,2,29,Alabama
104,11,1,29,Alabama
27,0,1,29,Alabama
142,6,8,29,Alabama
7,1,0,29,Alabama
72,14,1,29,Alabama
8,0,0,29,Alabama
51,2,1,29,Alabama
49,2,2,29,Alabama
24,1,0,29,Alabama
94,5,3,29,Alabama
50,2,2,29,Alabama
907,23,43,29,Alabama
9,0,1,29,Alabama
43,3,4,29,Alabama
8,0,0,29,Alabama
399,11,25,29,Alabama
32,0,0,29,Alabama
59,3,1,29,Alabama
37,1,2,29,Alabama
248,13,4,29,Alabama
50,3,3,29,Alabama
79,2,6,29,Alabama
351,19,6,29,Alabama
1057,32,55,29,Alabama
16,1,1,29,Alabama
358,28,5,29,Alabama
80,6,1,29,Alabama
12,1,0,29,Alabama
51,1,1,29,Alabama
71,3,1,29,Alabama
64,1,4,29,Alabama
12,0,0,29,Alabama
341,11,10,29,Alabama
76,3,1,29,Alabama
62,3,2,29,Alabama
63,2,2,29,Alabama
287,4,21,29,Alabama
257,29,1,29,Alabama
114,10,1,29,Alabama
35,1,1,29,Alabama
66,3,1,29,Alabama
15,1,0,29,Alabama
3218,91,60,1339,Arkansas
2,0,0,2,Arkansas
15,2,0,8,Arkansas
5,0,0,5,Arkansas
102,1,0,68,Arkansas
5,0,0,3,Arkansas
12,1,1,5,Arkansas
0,0,1,5,Arkansas
5,0,0,3,Arkansas
9,0,0,3,Arkansas
30,2,0,24,Arkansas
3,0,0,24,Arkansas
73,0,4,62,Arkansas
11,1,0,7,Arkansas
13,1,0,3,Arkansas
13,0,1,4,Arkansas
