Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
611,14.0,10.0,29.0,Alaska
150,0.0,4.0,194.0,Alaska
1,0.0,0.0,3.0,Alaska
79,0.0,2.0,83.0,Alaska
24,0.0,0.0,83.0,Alaska
17,0.0,1.0,33.0,Alaska
15,0.0,0.0,16.0,Alaska
1,0.0,0.0,1.0,Alaska
15,0.0,1.0,23.0,Alaska
1,0.0,0.0,3.0,Alaska
1,0.0,0.0,1.0,Alaska
4,0.0,0.0,2.0,Alaska
2,0.0,1.0,3.0,Alaska
2,0.0,0.0,2.0,Alaska
1,0.0,0.0,3.0,Alaska
1,0.0,0.0,1.0,Alaska
23710,707.0,769.0,1.0,Alabama
323,11.0,6.0,1.0,Alabama
380,5.0,3.0,1.0,Alabama
221,7.0,1.0,1.0,Alabama
8,0.0,0.0,1.0,Alabama
106,2.0,1.0,1.0,Alabama
258,5.0,8.0,1.0,Alabama
499,15.0,25.0,1.0,Alabama
41,0.0,0.0,1.0,Alabama
101,0.0,8.0,1.0,Alabama
6,0.0,0.0,1.0,Alabama
20,0.0,0.0,1.0,Alabama
166,4.0,11.0,1.0,Alabama
175,10.0,3.0,1.0,Alabama
9,0.0,0.0,1.0,Alabama
9,0.0,0.0,1.0,Alabama
265,5.0,1.0,1.0,Alabama
241,11.0,5.0,1.0,Alabama
2,0.0,0.0,1.0,Alabama
43,0.0,1.0,1.0,Alabama
106,8.0,1.0,1.0,Alabama
105,6.0,3.0,1.0,Alabama
239,19.0,1.0,1.0,Alabama
164,15.0,0.0,1.0,Alabama
7,0.0,0.0,1.0,Alabama
14,0.0,0.0,1.0,Alabama
303,12.0,5.0,1.0,Alabama
22,0.0,0.0,1.0,Alabama
99,6.0,3.0,1.0,Alabama
400,6.0,8.0,1.0,Alabama
50,1.0,0.0,1.0,Alabama
665,13.0,10.0,1.0,Alabama
42,1.0,0.0,1.0,Alabama
10,0.0,0.0,1.0,Alabama
223,4.0,14.0,1.0,Alabama
97,3.0,2.0,1.0,Alabama
25,0.0,1.0,1.0,Alabama
18,0.0,1.0,1.0,Alabama
2339,89.0,117.0,1.0,Alabama
5,0.0,0.0,1.0,Alabama
216,9.0,4.0,1.0,Alabama
8,0.0,0.0,1.0,Alabama
128,0.0,5.0,1.0,Alabama
32,0.0,0.0,1.0,Alabama
336,10.0,13.0,1.0,Alabama
117,7.0,5.0,1.0,Alabama
150,0.0,2.0,1.0,Alabama
204,4.0,9.0,1.0,Alabama
21,0.0,3.0,1.0,Alabama
811,25.0,9.0,1.0,Alabama
2623,30.0,129.0,1.0,Alabama
107,12.0,2.0,1.0,Alabama
2543,107.0,68.0,1.0,Alabama
516,39.0,2.0,1.0,Alabama
62,6.0,0.0,1.0,Alabama
135,2.0,3.0,1.0,Alabama
298,15.0,2.0,1.0,Alabama
138,1.0,8.0,1.0,Alabama
265,15.0,0.0,1.0,Alabama
158,0.0,5.0,1.0,Alabama
30,0.0,0.0,1.0,Alabama
15,0.0,0.0,1.0,Alabama
20,0.0,0.0,1.0,Alabama
455,1.0,67.0,1.0,Alabama
77,0.0,0.0,1.0,Alabama
587,11.0,1.0,1.0,Alabama
7,0.0,1.0,1.0,Alabama
13,0.0,0.0,1.0,Alabama
111,5.0,0.0,1.0,Alabama
11547,731.0,176.0,7607.0,Arkansas
7,0.0,0.0,4.0,Arkansas
38,3.0,1.0,27.0,Arkansas
14,0.0,0.0,11.0,Arkansas
1306,87.0,6.0,685.0,Arkansas
9,2.0,0.0,5.0,Arkansas
34,0.0,1.0,19.0,Arkansas
0,0.0,1.0,19.0,Arkansas
66,10.0,1.0,28.0,Arkansas
40,8.0,1.0,17.0,Arkansas
45,2.0,0.0,39.0,Arkansas
9,0.0,0.0,5.0,Arkansas
76,0.0,4.0,69.0,Arkansas
19,0.0,0.0,19.0,Arkansas
27,0.0,2.0,19.0,Arkansas
19,3.0,2.0,13.0,Arkansas
346,9.0,1.0,247.0,Arkansas
51,4.0,0.0,30.0,Arkansas
508,8.0,9.0,395.0,Arkansas
74,2.0,0.0,51.0,Arkansas
3,0.0,0.0,2.0,Arkansas
20,0.0,0.0,19.0,Arkansas
25,0.0,1.0,18.0,Arkansas
142,6.0,3.0,101.0,Arkansas
6,0.0,0.0,4.0,Arkansas
9,1.0,0.0,7.0,Arkansas
157,3.0,1.0,135.0,Arkansas
23,1.0,0.0,19.0,Arkansas
69,1.0,0.0,66.0,Arkansas
34,0.0,1.0,20.0,Arkansas
37,0.0,0.0,33.0,Arkansas
38,0.0,0.0,29.0,Arkansas
39,2.0,0.0,33.0,Arkansas
17,0.0,1.0,16.0,Arkansas
15,1.0,0.0,5.0,Arkansas
625,47.0,28.0,494.0,Arkansas
78,3.0,0.0,52.0,Arkansas
10,0.0,1.0,8.0,Arkansas
90,1.0,9.0,72.0,Arkansas
317,99.0,1.0,25.0,Arkansas
986,0.0,11.0,959.0,Arkansas
33,0.0,0.0,18.0,Arkansas
17,2.0,0.0,11.0,Arkansas
69,2.0,0.0,55.0,Arkansas
99,32.0,0.0,35.0,Arkansas
2,0.0,0.0,2.0,Arkansas
66,2.0,1.0,52.0,Arkansas
89,2.0,2.0,75.0,Arkansas
6,0.0,0.0,5.0,Arkansas
3,0.0,0.0,2.0,Arkansas
73,2.0,0.0,7.0,Arkansas
3,0.0,0.0,3.0,Arkansas
14,0.0,0.0,10.0,Arkansas
15,0.0,0.0,14.0,Arkansas
32,1.0,1.0,22.0,Arkansas
6,0.0,0.0,5.0,Arkansas
50,4.0,3.0,32.0,Arkansas
48,0.0,0.0,28.0,Arkansas
234,2.0,2.0,163.0,Arkansas
6,1.0,0.0,2.0,Arkansas
1241,16.0,41.0,887.0,Arkansas
28,0.0,0.0,24.0,Arkansas
166,3.0,2.0,118.0,Arkansas
2,0.0,0.0,2.0,Arkansas
7,0.0,0.0,7.0,Arkansas
133,24.0,2.0,54.0,Arkansas
393,6.0,4.0,242.0,Arkansas
51,1.0,3.0,43.0,Arkansas
769,1.0,2.0,679.0,Arkansas
11,0.0,0.0,8.0,Arkansas
199,5.0,11.0,160.0,Arkansas
30,0.0,2.0,26.0,Arkansas
1605,216.0,12.0,635.0,Arkansas
55,0.0,1.0,44.0,Arkansas
2,0.0,0.0,1.0,Arkansas
275,14.0,2.0,173.0,Arkansas
31896,1022.0,1095.0,173.0,Arizona
55,0.0,1095.0,173.0,Arizona
11,0.0,1095.0,173.0,Arizona
