Confirmed,ConfirmedChange,Deaths,Recovered,Country_Region
714,49,23,32,Afghanistan
467,21,24,232,Albania
1983,69,313,601,Algeria
0,0,0,601,American Samoa
646,8,29,139,Andorra
19,0,2,2,Angola
3,0,0,0,Anguilla
23,2,2,0,Antigua and Barbuda
2272,69,98,468,Argentina
1067,28,16,211,Armenia
6359,46,61,3496,Australia
13999,105,368,6987,Austria
1148,50,12,289,Azerbaijan
47,1,8,6,Bahamas
1348,212,6,591,Bahrain
803,182,39,42,Bangladesh
72,1,4,13,Barbados
2919,341,29,203,Belarus
30589,942,3903,6707,Belgium
14,0,2,0,Belize
35,0,1,5,Benin
57,7,4,29,Bermuda
5,0,0,2,Bhutan
354,54,28,2,Bolivia
1046,33,39,206,Bosnia and Herz.
13,0,1,0,Botswana
23430,1261,1328,0,Brazil
3,0,0,0,British Virgin Islands
136,0,1,99,Brunei
685,10,32,71,Bulgaria
508,12,27,170,Burkina Faso
5,0,1,0,Burundi
10,3,1,0,Cape Verde
122,0,1,0,Cambodia
848,14,14,130,Cameroon
25680,1297,780,6013,Canada
11,3,0,3,Central African Rep.
23,5,0,2,Chad
7525,312,82,2367,Chile
82160,108,3341,77663,China
2852,76,112,270,Colombia
69,5,5,0,Congo
235,1,20,17,Dem. Rep. Congo
612,17,3,62,Costa Rica
626,52,6,89,Côte d'Ivoire
1650,50,25,400,Croatia
726,57,21,121,Cuba
14,0,1,7,Curaçao
662,29,17,65,Cyprus
6059,68,159,519,Czech Rep.
6513,144,285,2235,Denmark
298,84,2,41,Djibouti
16,0,0,5,Dominica
3286,119,183,152,Dominican Rep.
7529,63,355,597,Ecuador
2190,125,164,589,Egypt
149,12,6,22,El Salvador
34,0,0,0,Eritrea
1332,23,27,102,Estonia
15,1,0,7,Swaziland
74,3,3,10,Ethiopia
5,0,0,0,Falkland Is.
184,0,0,0,Faroe Is.
16,0,0,0,Fiji
3369,115,59,0,Finland
98076,2673,14967,27718,France
90,2,1,13,French Guiana
55,2,0,0,French Polynesia
76,0,10,50,French-Guadeloupe
66,0,5,48,French-Martinique
57,8,1,1,Gabon
9,5,1,2,Gambia
272,15,3,67,Georgia
123016,2537,2799,57259,Germany
129,0,0,84,Gibraltar
2145,31,99,269,Greece
11,0,0,11,Greenland
14,0,0,0,Grenada
145,1,8,67,Guadeloupe
134,1,5,58,Guam
156,3,5,19,Guatemala
219,1,6,48,Guernsey
319,69,0,17,Guinea
39,1,0,0,Guinea-Bissau
47,2,6,8,Guyana
40,7,3,8,Haiti
407,10,26,7,Honduras
1010,5,4,397,香港
1458,48,109,120,Hungary
1720,9,8,933,Iceland
9352,905,324,980,India
4557,316,399,380,Indonesia
73303,1617,4585,45983,Iran
1378,26,78,717,Iraq
10647,992,365,25,Ireland
242,14,2,132,Isle of Man
11959,444,110,1689,Israel
159516,3153,20465,35435,Italy
73,1,4,16,Jamaica
7645,390,109,799,Japan
217,4,3,799,Jersey
391,2,7,215,Jordan
1091,140,12,138,Kazakhstan
208,11,9,40,Kenya
377,15,8,59,Kosovo
1300,66,2,150,Kuwait
419,42,5,67,Kyrgyzstan
657,2,5,16,Latvia
