Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
12552,3,1344,10148,Andalusia
5432,60,837,3534,Aragon
2356,0,310,1053,Asturias
1967,10,216,1513,Balearic Islands
13214,0,1442,1513,Basque Country
2280,9,151,1506,Canary Islands
2273,0,205,1506,Cantabria
16513,60,2870,6294,Castile La Mancha
18272,167,1930,7672,Castilla Leon
55464,184,5882,25904,Catalonia
114,0,4,25904,Ceuta
2919,0,489,25904,Extremadura
9323,22,601,8283,Galicia
4016,7,348,2927,La Rioja
66005,736,8809,40383,Madrid
119,0,2,115,Melilla
1525,0,142,115,Murcia
5197,1,500,3550,Navarre
11069,9,1341,9268,Valencia
