Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
432,65,5,152,Baluchistan
181,14,3,20,Islamabad
1235,121,67,267,Khyber Pakhtunkhwa
3721,223,42,702,Punjab
2537,265,56,625,Sindh
