Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
20,0.0,1.0,17.0,Aceh
488,1.0,5.0,334.0,Bali
50,0.0,1.0,28.0,Bangka-Belitung
918,35.0,69.0,273.0,Banten
92,0.0,2.0,25.0,Bengkulu
1443,11.0,70.0,371.0,Central Java
442,14.0,20.0,182.0,Central Kalimantan
128,0.0,4.0,61.0,Central Sulawesi
5226,91.0,418.0,699.0,East Java
304,6.0,3.0,175.0,East Kalimantan
98,1.0,1.0,14.0,East Nusa Tenggara
113,5.0,6.0,29.0,Gorontalo
7582,41.0,518.0,2399.0,Jakarta
99,1.0,0.0,15.0,Jambi
137,1.0,10.0,80.0,Lampung
234,4.0,8.0,36.0,Maluku
165,0.0,2.0,81.0,North Kalimantan
175,1.0,15.0,29.0,North Maluku
365,11.0,37.0,52.0,North Sulawesi
431,13.0,41.0,151.0,North Sumatra
838,19.0,7.0,78.0,Papua
117,0.0,6.0,92.0,Riau
213,4.0,15.0,102.0,Riau Islands
249,2.0,5.0,125.0,South East Sulawesi
1001,32.0,87.0,99.0,South Kalimantan
1649,19.0,75.0,625.0,South Sulawesi
1024,5.0,34.0,224.0,South Sumatra
2316,2.0,151.0,648.0,West Java
199,3.0,4.0,55.0,West Kalimantan
677,7.0,12.0,292.0,West Nusa Tenggara
173,1.0,2.0,55.0,West Papua
92,0.0,2.0,49.0,West Sulawesi
578,4.0,25.0,272.0,West Sumatra
237,0.0,8.0,168.0,Yogyakarta
