Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
3406,396,134,77,Andalusia
1116,209,48,4,Aragon
841,62,27,40,Asturias
660,98,17,39,Balearic Islands
3946,675,180,621,Basque Country
784,127,24,18,Canary Islands
671,161,17,14,Cantabria
3383,603,316,95,Castile La Mancha
3488,548,206,308,Castilla Leon
11592,1655,672,1697,Catalonia
10,1,0,0,Ceuta
969,227,58,24,Extremadura
1915,262,32,47,Galicia
995,67,43,48,La Rioja
17166,2569,2090,3882,Madrid
39,1,1,0,Melilla
596,119,8,9,Murcia
1411,214,49,35,Navarre
3200,584,167,57,Valencia
