Confirmed,ConfirmedChange,Deaths,Recovered,Country_Region
1939,111,60,228,Afghanistan
750,14,30,431,Albania
3649,132,437,1651,Algeria
0,0,0,1651,American Samoa
743,0,41,398,Andorra
27,0,2,6,Angola
3,0,0,3,Anguilla
24,0,3,3,Antigua and Barbuda
4114,124,207,1151,Argentina
1932,65,30,866,Armenia
100,0,2,73,Aruba
6731,11,88,5630,Australia
15286,47,569,12580,Austria
1717,39,22,1221,Azerbaijan
80,0,11,23,Bahamas
2811,88,8,1310,Bahrain
6462,549,155,139,Bangladesh
80,0,6,39,Barbados
12208,919,79,1993,Belarus
47334,647,7331,10943,Belgium
18,0,2,5,Belize
74,5,1,33,Benin
110,0,6,44,Bermuda
7,0,0,5,Bhutan
1053,39,55,98,Bolivia
2,0,0,1,Bonaire
1557,20,62,682,Bosnia and Herz.
23,1,1,0,Botswana
71886,5385,5017,31142,Brazil
6,0,1,3,British Virgin Islands
138,0,1,124,Brunei
1399,36,58,222,Bulgaria
638,3,42,476,Burkina Faso
11,0,1,4,Burundi
113,4,1,2,Cape Verde
122,0,0,119,Cambodia
1755,50,58,805,Cameroon
50026,1526,2859,19050,Canada
72,1,1,10,Cayman Islands
50,0,0,10,Central African Rep.
52,6,2,19,Chad
14365,552,207,7710,Chile
82836,6,4633,77555,China
5949,352,269,1268,Colombia
530,38,28,19,Dem. Rep. Congo
705,8,6,306,Costa Rica
1183,19,14,525,Côte d'Ivoire
2047,8,63,1232,Croatia
1437,48,58,575,Cuba
16,0,1,12,Curaçao
837,10,20,52,Cyprus
7504,59,230,2948,Czech Rep.
9049,153,434,6121,Denmark
1072,37,2,498,Djibouti
16,0,0,13,Dominica
6416,123,286,1165,Dominican Rep.
22642,2292,560,1328,Ecuador
5042,260,359,1304,Egypt
377,32,9,97,El Salvador
315,19,1,9,Eq. Guinea
39,0,0,19,Eritrea
1660,13,50,240,Estonia
71,6,1,10,Swaziland
126,2,3,50,Ethiopia
13,0,0,11,Falkland Is.
187,0,0,181,Faroe Is.
18,0,0,12,Fiji
4992,105,199,2800,Finland
126835,1065,23660,46886,France
28,0,0,13,French Guiana
58,0,0,43,French Polynesia
76,0,10,50,French-Guadeloupe
66,0,5,48,French-Martinique
238,27,3,53,Gabon
511,14,6,168,Georgia
156337,1144,5913,110041,Germany
1671,61,16,188,Ghana
142,1,0,131,Gibraltar
2566,32,138,577,Greece
11,0,0,11,Greenland
18,0,0,7,Grenada
145,0,10,68,Guadeloupe
144,2,5,128,Guam
530,30,15,49,Guatemala
249,1,13,191,Guernsey
1240,77,7,269,Guinea
139,66,1,18,Guinea-Bissau
75,1,8,12,Guyana
76,1,6,8,Haiti
702,41,64,73,Honduras
1038,0,4,811,香港
2649,66,291,516,Hungary
1797,2,10,1636,Iceland
29974,1594,937,7027,India
9511,415,773,1254,Indonesia
92584,1112,5877,72439,Iran
1928,81,90,1319,Iraq
19877,229,1159,9233,Ireland
309,1,21,252,Isle of Man
15728,173,210,7746,Israel
201505,2091,27359,68941,Italy
364,14,7,29,Jamaica
13852,276,389,3187,Japan
284,1,20,185,Jersey
450,1,8,348,Jordan
3027,167,25,774,Kazakhstan
374,11,14,124,Kenya
790,10,25,232,Kosovo
3440,152,23,1176,Kuwait
708,13,8,416,Kyrgyzstan
19,0,0,4,Lao PDR
849,13,15,267,Latvia
721,4,24,145,Lebanon
141,8,16,45,Liberia
61,0,2,18,Libya
82,0,1,55,Liechtenstein
