Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
20,0,1,18,Aceh
547,23,5,369,Bali
88,7,1,34,Bangka-Belitung
1008,19,70,324,Banten
94,1,3,25,Bengkulu
1572,35,76,407,Central Java
490,6,26,191,Central Kalimantan
143,7,4,78,Central Sulawesi
5803,254,446,1207,East Java
324,7,3,184,East Kalimantan
101,1,1,14,East Nusa Tenggara
125,4,6,32,Gorontalo
7884,118,524,2751,Jakarta
101,0,0,27,Jambi
142,1,11,92,Lampung
271,17,8,64,Maluku
167,0,2,95,North Kalimantan
180,2,19,30,North Maluku
430,39,40,62,North Sulawesi
560,23,46,172,North Sumatra
975,57,7,78,Papua
117,0,6,100,Riau
224,1,15,103,Riau Islands
257,0,5,141,South East Sulawesi
1257,44,93,104,South Kalimantan
1855,79,93,673,South Sulawesi
1102,28,38,265,South Sumatra
2385,19,158,764,West Java
206,1,4,109,West Kalimantan
778,21,20,299,West Nusa Tenggara
176,1,2,74,West Papua
92,0,2,50,West Sulawesi
613,6,27,333,West Sumatra
241,3,8,174,Yogyakarta
