Country_Region,Confirmed,Deaths,Recovered
Afghanistan,1,0,0
Algeria,1,0,0
Australia,23,0,15
Austria,2,0,15
Bahrain,33,0,15
Belgium,1,0,15
Brazil,1,0,15
Cambodia,1,0,15
Canada,14,0,8
China,78630,2747,32563
Croatia,3,0,32563
Denmark,3583,125,32563
Egypt,1,0,32563
Estonia,1,0,32563
Finland,3,0,32563
France,38,1,12
Georgia,1,0,12
Germany,26,0,15
Greece,3,0,15
India,3,0,24
Iran,245,26,21
Iraq,6,0,21
Israel,19,0,21
Italy,650,17,46
Japan,210,4,32
Korea,1766,13,26
Kuwait,43,0,32
Lebanon,4,0,32
Macao SAR,10,0,8
Macedonia,1,0,22
Malaysia,24,0,22
Nepal,1,0,22
Netherlands,1,0,22
Nigeria,1,0,22
Norway,4,0,22
Oman,6,0,22
Pakistan,2,0,22
Philippines,3,1,22
Qatar,1,1,22
Romania,1,0,22
Russia,2,0,22
San Marino,1,0,22
Singapore,96,0,66
Spain,26,1,2
Sri Lanka,1,0,2
Sweden,3,0,2
Switzerland,8,0,2
Thailand,40,0,27
United Arab Emirates,19,0,3
United Kingdom,13,0,8
United States,38,2,8
Vietnam,16,0,8
台湾,32,1,2
香港,93,2,24
